root,suffixes
либерал_NOUN,"['ал', 'к']"
эволюци_ADJF,"['онн', 'ск']"
раб_ADJF,"['ск', 'ий']"
плюральн_ADJF,[]
болт_NOUN,"['к', 'ни', 'ишк', 'ость', 'ик', 'н', 'ун', 'ь']"
топор_NOUN,"['ищ', 'ишк', 'ик']"
мяч_NOUN,['ик']
черешен_NOUN,['к']
лаз_NOUN,"['к', 'ни', 'нь', 'еств']"
жгут_VERB,[]
чрезвычайн_ADJF,[]
хауз_NOUN,[]
наход_ADJF,['чив']
октябрь_ADJF,['ск']
грохат_INFN,['ть']
дириж_INFN,['ть']
скит_INFN,['ть']
юбил_NOUN,"['яр', 'ш', 'е']"
бут_INFN,['ть']
компар_NOUN,['атор']
горш_NOUN,['ен']
плик_NOUN,"['атор', 'аци']"
атолл_NOUN,[]
зенит_ADJF,['н']
собач_NOUN,"['ниц', 'к', 'еньк', 'ат', 'ник', 'онк', 'ей', 'ин', 'ищ']"
яз_NOUN,"['ок', 'н']"
кож_ADJF,"['н', 'ан', 'ист', 'енн']"
волж_NOUN,"['ин', 'к']"
уйм_NOUN,['ищ']
кор_NOUN,"['ств', 'щик', 'изн', 'к', 'очк', 'ник']"
аблаут_NOUN,[]
апелл_NOUN,"['ент', 'янт', 'ни', 'яци']"
кораль_NOUN,[]
пуст_ADJF,"['н', 'ов', 'ел', 'им', 'тельн', 'еньк', 'вш', 'ейш', 'ат']"
мах_PRTF,"['т', 'нн']"
млад_ADVB,['а']
мантисс_NOUN,[]
инкримин_INFN,['ть']
песч_NOUN,"['инк', 'к', 'ик']"
актив_INFN,['ть']
озар_NOUN,['ени']
куш_PRTF,"['енн', 'нн', 'авш', 'аем', 'ающ']"
характер_ADJF,"['н', 'еск']"
каймак_NOUN,[]
сыль_ADJF,['н']
изум_INFN,['ть']
живл_PRTF,['енн']
брежь_NOUN,[]
рос_ADJF,"['ев', 'ян', 'н', 'л', 'ист']"
метис_NOUN,"['к', 'аци']"
дешев_ADJF,['еньк']
ков_ADJF,"['н', 'к']"
вр_NOUN,"['к', 'ль', 'унь', 'ун', 'ишк', 'уш', 'и']"
чакан_NOUN,[]
грипп_NOUN,[]
живл_NOUN,"['ени', 'ост']"
чт_INFN,['ть']
секунд_ADJF,['н']
скипидар_ADJF,['н']
ответ_NOUN,"['чик', 'чиц', 'ост', 'и']"
что_NOUN,"['ость', 'еств']"
ремеш_ADJF,['ов']
урод_NOUN,"['ец', 'ость', 'ни', 'ищ']"
черешч_ADJF,['ат']
фиксоль_NOUN,[]
синапт_ADJF,['ическ']
пудр_INFN,['ть']
тепер_ADVB,['ич']
хулахуп_NOUN,[]
врат_ADJF,"['н', 'им']"
жокей_NOUN,['к']
эконом_ADJF,"['еск', 'ичн', 'н']"
аналог_ADJF,"['ичн', 'ическ', 'ов']"
мысл_INFN,['ть']
жог_NOUN,[]
ссуж_INFN,['ть']
порож_ADJF,"['ист', 'н']"
кинз_NOUN,[]
профиль_ADJF,['н']
верж_NOUN,"['ость', 'ец', 'ени']"
пузыр_ADJF,"['н', 'ист', 'чат']"
пыт_PRTF,"['нн', 'авш', 'ающ']"
месяч_NOUN,"['ник', 'ин']"
да_PRTF,"['ющ', 'нн', 'ий', 'ые']"
сигар_NOUN,"['ниц', 'ет', 'к']"
родник_NOUN,[]
зр_NOUN,"['тель', 'ни', 'ени', 'ниц', 'ищ', 'ост', 'ител', 'ест']"
предупред_NOUN,['ость']
консуль_NOUN,"['ств', 'ант', 'аци', 'ани']"
бух_PRTF,"['ш', 'вш']"
рамл_PRTF,['енн']
лошад_NOUN,"['енк', 'ник', 'к', 'ушк']"
нерв_INFN,"['ть', 'ов', 'нич']"
тащ_INFN,['ть']
хижин_NOUN,[]
опас_ADJF,['н']
атк_ADJF,['ые']
республик_ADJF,['ск']
увеч_PRTF,['енн']
палом_NOUN,"['еств', 'ниц', 'ник']"
ниц_ADJF,"['тельн', 'ем', 'н']"
координ_PRTF,['нн']
прав_INFN,['ть']
зенкер_NOUN,['ни']
компаратив_ADJF,"['н', 'ск']"
пейзаж_ADJF,['н']
глуп_INFN,['ть']
волок_ADJF,"['ов', 'н', 'ист', 'онн']"
искусн_NOUN,"['иц', 'ик']"
привет_ADJF,"['енн', 'лив', 'н']"
синтет_ADJF,"['еск', 'ическ']"
свет_INFN,['ть']
литерат_INFN,['ть']
либераль_INFN,['ть']
орнамент_NOUN,"['ик', 'ни', 'щик', 'аци', 'к', 'ист']"
центр_PRTF,"['нн', 'анн', 'авш', 'ующ']"
холож_PRTF,['енн']
ши_ADJF,"['н', 'т', 'ск']"
сил_INFN,['ть']
замысл_ADJF,['оват']
толк_INFN,"['ть', 'н']"
тапт_INFN,['ть']
веш_NOUN,"['ни', 'к', 'ость', 'ени', 'ани', 'ател']"
реакт_ADJF,"['ивн', 'н']"
тучн_NOUN,['ость']
тоск_INFN,['ть']
переч_NOUN,"['ниц', 'ник']"
ответ_ADJF,"['н', 'енн']"
вишн_NOUN,"['к', 'як']"
керен_NOUN,['щин']
лап_ADJF,"['ат', 'ов', 'ист']"
черч_PRTF,['енн']
ус_ADJF,"['ат', 'ист', 'аст', 'ые', 'н', 'еньк']"
цит_INFN,['ть']
цемент_PRTF,['нн']
мач_ADJF,['ин']
цел_ADVB,['ом']
сматр_INFN,"['ть', 'ив']"
зоб_ADJF,"['аст', 'н', 'ат']"
рыхл_INFN,['ть']
ялов_ADJF,['н']
лик_NOUN,['ост']
чок_INFN,['ть']
жим_INFN,['ть']
родан_ADJF,"['ов', 'ист']"
морен_ADJF,['н']
сармат_ADJF,['ск']
цивил_NOUN,"['аци', 'атор', 'ик', 'ист', 'ост']"
человеч_ADJF,"['еск', 'н', 'енн']"
креп_NOUN,"['к', 'еж', 'тель', 'ыш', 'щик', 'ост']"
семен_INFN,['ть']
гран_PRTF,"['н', 'енн', 'ащ', 'ивш', 'авш', 'ающ', 'аем']"
г_INFN,['ть']
тир_NOUN,"['к', 'тель', 'ни', 'ость', 'ник', 'ств', 'уш']"
продукт_NOUN,['ость']
мухлева_INFN,['ть']
суч_NOUN,"['к', 'ок', 'ек', 'ени', 'щик']"
радиатор_ADJF,['н']
фейербах_NOUN,['ств']
казинет_ADJF,['ов']
яич_NOUN,"['ник', 'к', 'ниц']"
рыхл_PRTF,['енн']
незадач_NOUN,[]
лов_ADJF,"['им', 'н', 'ч', 'к', 'ист']"
гас_NOUN,"['тель', 'ни', 'ник']"
облад_NOUN,['ни']
валют_NOUN,"['ни', 'чик']"
прыск_INFN,['ть']
олен_NOUN,"['енок', 'их', 'ух', 'ин']"
фильтр_INFN,['ть']
точ_NOUN,"['к', 'ин', 'ость', 'ник', 'ец', 'и', 'щик', 'ни', 'л', 'ени', 'н']"
зной_ADJF,['н']
хоккей_ADJF,['н']
гестап_NOUN,['ец']
вегетари_ADJF,['ск']
сель_ADVB,[]
толк_PRTF,"['нн', 'т', 'авш', 'увш', 'ающ', 'ущ', 'ующ']"
полз_PRTF,"['ш', 'ий']"
скар_INFN,['ть']
пищ_NOUN,"['ль', 'ик', 'ух', 'к']"
бодр_INFN,"['ть', 'ов']"
обоз_NOUN,"['чик', 'ник']"
трел_ADJF,['н']
шанс_NOUN,[]
сек_INFN,['ть']
трог_INFN,['ть']
адопт_INFN,['ть']
рыд_NOUN,"['ни', 'ец']"
гопак_NOUN,[]
демократ_NOUN,"['изм', 'ал']"
малев_NOUN,"['ок', 'ни', 'к']"
таран_PRTF,['енн']
бурлеск_NOUN,[]
вечер_ADVB,"['ом', 'у']"
обожа_NOUN,"['ниц', 'ни', 'тель']"
хоккей_NOUN,[]
парабеллум_NOUN,[]
грим_PRTF,['нн']
гигиен_ADJF,"['ичн', 'ическ', 'еск']"
ед_INFN,['ть']
нюх_INFN,['ть']
минимал_NOUN,"['к', 'изм', 'ист']"
ровн_ADJF,"['н', 'ехоньк', 'ешеньк', 'еньк']"
вирус_NOUN,[]
казу_NOUN,"['к', 'ист', 'ик']"
омнибус_NOUN,[]
земел_PRTF,['енн']
знаком_INFN,['ть']
рог_NOUN,"['ик', 'ин', 'ни', 'ть', 'к', 'ач', 'ул', 'аль', 'иц', 'ов', 'ост']"
гнет_NOUN,"['тель', 'ени', 'ость']"
дой_ADJF,"['н', 'лив']"
богатыр_NOUN,"['к', 'ств', 'ск']"
гост_INFN,['ть']
подоб_NOUN,"['и', 'ость']"
изверж_NOUN,['ени']
коловрат_NOUN,['к']
вед_PRTF,"['ш', 'ий', 'енн', 'нн', 'авш', 'ающ', 'ующ']"
лавл_INFN,['ть']
креп_INFN,['ть']
куп_ADJF,"['ч', 'н', 'тельн', 'им', 'ск']"
нумизмат_NOUN,['ик']
сутств_NOUN,['и']
эс_NOUN,"['ер', 'щин', 'к', 'ец']"
ключ_NOUN,"['ниц', 'арь', 'к', 'тель', 'ени', 'евин', 'ник', 'ост', 'иц', 'ател', 'ин']"
фраз_NOUN,"['ер', 'к', 'ств']"
дурн_ADJF,[]
ровн_INFN,['ть']
свес_INFN,['ти']
элит_ADJF,['н']
брач_NOUN,['и']
полн_NOUN,"['ени', 'ость', 'тель', 'от', 'ниц', 'ост']"
рокоч_PRTF,['ущ']
метан_ADJF,['ов']
вр_PRTF,['нн']
сос_INFN,['ть']
фляг_NOUN,[]
зонд_NOUN,"['ни', 'аж']"
черкас_ADJF,['ск']
бюрокрач_PRTF,['енн']
интим_ADJF,['н']
ел_NOUN,"['к', 'ец']"
сквалыж_NOUN,"['ник', 'еств', 'ниц']"
судь_NOUN,[]
благодар_ADJF,"['н', 'енн']"
пингвин_NOUN,[]
авторитет_ADJF,['н']
трамбова_INFN,['ть']
курьез_ADJF,['н']
зеркаль_ADJF,['н']
структур_NOUN,[]
тормож_PRTF,['енн']
ефимок_NOUN,[]
пи_INFN,['ть']
марий_ADJF,['ск']
скал_INFN,['ть']
егер_ADJF,['ск']
сох_ADJF,"['ш', 'ущ', 'л', 'ат']"
фотофиниш_NOUN,[]
свист_NOUN,"['ун', 'ни', 'к', 'ульк', 'ек', 'унь', 'ок']"
фарс_ADJF,['ов']
рюш_ADJF,['н']
математ_NOUN,"['аци', 'ик', 'к']"
секвестр_PRTF,['нн']
магнет_NOUN,"['он', 'ер', 'ит', 'изм', 'ик']"
империал_NOUN,"['изм', 'ист']"
отреч_ADJF,['енн']
мущ_PRTF,"['енн', 'авш', 'ающ', 'аем']"
дребезг_NOUN,[]
шир_NOUN,"['ени', 'ин', 'ость', 'тель', 'от', 'к']"
модус_NOUN,[]
парх_INFN,['ть']
опас_INFN,['ть']
муштр_INFN,['ть']
пестр_PRTF,['енн']
вихр_ADJF,['ев']
тат_NOUN,"['ств', 'ец', 'к', 'чик', 'чиц']"
манси_NOUN,"['ец', 'к']"
догад_NOUN,"['ость', 'к']"
кокк_NOUN,['оз']
толст_NOUN,"['ец', 'щин', 'як', 'ух', 'ок', 'к', 'ств', 'ин']"
филь_NOUN,['ств']
свист_INFN,"['ть', 'ыв']"
сыл_INFN,['ть']
стил_NOUN,"['к', 'ист', 'ни', 'яг', 'атор', 'ик', 'аци', 'ств']"
каптер_NOUN,['к']
серпантин_ADJF,"['ов', 'н']"
транспорт_NOUN,"['ер', 'ни', 'к', 'ник']"
сня_INFN,['ть']
копт_ADJF,"['л', 'н', 'ск']"
шкипер_ADJF,['ск']
полн_INFN,['ть']
глав_ADJF,"['и', 'ех', 'н']"
тес_NOUN,"['ни', 'к', 'ени', 'ин', 'л', 'чик', 'о', 'ак']"
раст_INFN,['ть']
шепеляв_INFN,['ть']
изум_ADJF,['тельн']
полез_ADJF,['н']
оборот_ADJF,"['ист', 'н', 'лив']"
горл_NOUN,"['ик', 'инк', 'ышк', 'ан', 'ач', 'ин', 'иц', 'янк']"
мч_INFN,['ть']
духан_NOUN,"['щик', 'щиц']"
дарвин_ADJF,['ск']
сообразн_NOUN,['ость']
роскош_INFN,['ть']
шинков_NOUN,['к']
кибернет_NOUN,"['ик', 'аци']"
дич_NOUN,"['ни', 'ин', 'ок']"
весель_NOUN,['чак']
дым_ADJF,"['н', 'чат', 'ов']"
декад_NOUN,"['ент', 'к', 'анс', 'ств']"
морож_ADJF,"['енн', 'ен']"
джем_NOUN,[]
мут_NOUN,"['аци', 'тель', 'ант', 'ени', 'к', 'ость', 'ниц', 'ик', 'ост']"
дир_NOUN,"['ость', 'ств', 'к', 'ни', 'ть']"
срам_INFN,['ть']
лг_INFN,['ть']
верт_INFN,"['ть', 'ыв', 'ся']"
миним_PRTF,['нн']
вахт_NOUN,"['ер', 'ш']"
бег_PRTF,"['нн', 'ущ', 'авш', 'ающ', 'увш']"
верж_ADJF,['енн']
бретон_NOUN,"['к', 'ец']"
колдоб_NOUN,"['ин', 'к']"
сып_PRTF,"['нн', 'анн', 'аем', 'ающ', 'авш']"
сил_ADJF,"['енн', 'ов', 'ющ', 'тельн', 'н']"
бесн_NOUN,['ни']
челяд_NOUN,"['ин', 'к', 'ец']"
табул_NOUN,"['ур', 'ни', 'ятор']"
вяз_PRTF,"['вш', 'нн', 'ющ', 'ш', 'авш', 'анн', 'аем', 'ающ']"
неряш_NOUN,"['ость', 'еств']"
аэр_NOUN,"['атор', 'аци', 'арий', 'он', 'б', 'ани']"
австрал_ADJF,['н']
бок_ADVB,"['у', 'ом']"
алюмин_NOUN,"['он', 'ий', 'ат']"
хирург_NOUN,['и']
офицер_NOUN,"['ств', 'ш']"
гармон_ADJF,"['ическ', 'ичн', 'нн', 'н', 'еск']"
аммиач_ADJF,['н']
донес_NOUN,['ени']
сыр_INFN,['ть']
тушева_INFN,['ть']
линь_NOUN,['к']
толч_PRTF,['енн']
тяг_ADJF,"['н', 'ий', 'ов', 'уч', 'л', 'тельн']"
гиб_INFN,['ть']
форм_ADJF,"['н', 'ов', 'ичн', 'нн', 'енн', 'ск', 'онн', 'анн', 'еск']"
забы_INFN,['ть']
соколь_NOUN,"['ник', 'нич']"
шлих_NOUN,[]
силь_ADJF,"['н', 'енн', 'еск', 'ейш']"
инверс_ADJF,"['нн', 'н']"
фемин_ADJF,"['ск', 'ическ']"
помин_INFN,['ть']
орос_ADJF,['тельн']
али_NOUN,['ик']
вещ_ADJF,"['тельн', 'н', 'ск', 'енн', 'ев']"
бебут_NOUN,[]
надоес_INFN,['ть']
ритуал_NOUN,[]
пастер_INFN,['ть']
молод_NOUN,"['ец', 'ок', 'л', 'еств', 'ушк', 'ик', 'к', 'няк', 'ин', 'иц', 'ух', 'аг', 'айк', 'еж', 'ост', 'ц']"
гумм_NOUN,"['ит', 'оз', 'ни', 'к']"
дискусси_ADJF,['онн']
опроверж_NOUN,"['ость', 'ени']"
див_INFN,['ть']
пазд_INFN,['ть']
танк_NOUN,"['етк', 'ер', 'ист']"
чин_INFN,['ть']
моч_PRTF,['енн']
тесн_PRTF,"['енн', 'явш', 'ющ', 'ивш', 'ящ']"
хмур_INFN,['ть']
дар_PRTF,"['енн', 'нн', 'ивш']"
рас_INFN,"['ти', 'ть']"
довзыск_INFN,['ть']
туберкул_ADJF,['н']
лаг_ADJF,"['ющ', 'тельн']"
вакуум_NOUN,['ни']
полон_ADJS,[]
осведомл_INFN,['ть']
помн_INFN,['ть']
решет_INFN,['ть']
грунт_INFN,['ть']
электр_PRTF,['нн']
словен_ADJF,['ск']
звук_NOUN,['ик']
легав_ADJF,[]
подозр_INFN,['ть']
анкет_NOUN,['ни']
шантаж_INFN,['ть']
ералаш_NOUN,[]
толерантн_ADJF,[]
день_ADVB,['ск']
бед_NOUN,"['и', 'ост', 'от', 'яг', 'к', 'як', 'олаг', 'ани', 'ени']"
спор_ADJS,[]
мещан_INFN,['ть']
очеред_NOUN,"['ник', 'ниц']"
дель_ADJF,"['н', 'еск', 'ческ', 'ск']"
квартир_INFN,['ть']
кровель_NOUN,"['к', 'щик']"
узор_ADJF,"['чат', 'очн']"
конверт_NOUN,"['ни', 'к', 'ер']"
солдат_NOUN,"['н', 'ик', 'к', 'чин', 'ушк', 'ств']"
сват_INFN,['ть']
дьявол_NOUN,"['иц', 'енок']"
трон_NOUN,['ий']
кита_NOUN,"['ец', 'ист']"
череп_ADJF,"['н', 'ян', 'ов', 'аш', 'ичн']"
счит_INFN,['ть']
лун_NOUN,"['ник', 'и', 'изм', 'к', 'ик', 'ени']"
копееч_ADJF,['н']
прос_INFN,['ть']
тузлуч_ADJF,['н']
граб_ADJF,"['н', 'ск', 'ов']"
пер_INFN,['ть']
ердяй_NOUN,['к']
след_ADJF,"['ов', 'н', 'ем', 'енн', 'ющ', 'тельн', 'нн', 'ск', 'ующ']"
ламантин_NOUN,[]
нос_INFN,['ть']
угожд_INFN,['ть']
зов_NOUN,"['ист', 'изм']"
преда_INFN,['ть']
паточ_ADJF,['н']
прочн_ADJF,['н']
лин_ADJF,"['н', 'нн', 'ий', 'л', 'юч', 'ял']"
пикет_NOUN,"['аж', 'чик']"
разбав_NOUN,"['к', 'тель']"
колгот_NOUN,"['н', 'к']"
водруз_INFN,['ть']
лапот_NOUN,"['ник', 'ек', 'ниц', 'ок']"
смир_ADJF,['л']
лебедк_NOUN,[]
символ_INFN,['ть']
картез_ADJF,['ск']
балласт_ADJF,"['ов', 'н']"
велюр_ADJF,['ов']
шв_NOUN,"['к', 'н']"
олив_NOUN,"['к', 'ин']"
шеллинг_NOUN,"['ец', 'ств']"
молв_INFN,['ть']
арык_NOUN,[]
антагон_NOUN,"['изм', 'ист', 'к']"
капрон_NOUN,[]
зре_NOUN,"['ни', 'ость']"
палатал_NOUN,['аци']
штурм_INFN,['ть']
чуд_ADJF,"['н', 'лив', 'еск', 'ат', 'ов']"
стог_INFN,['ть']
ред_INFN,['ть']
конеч_NOUN,"['ость', 'ник', 'ост']"
настрой_NOUN,['к']
аудитори_NOUN,[]
таксис_NOUN,[]
аббат_NOUN,"['ств', 'ис']"
узурп_NOUN,"['атор', 'аци', 'ств']"
тар_PRTF,"['нн', 'енн']"
лобб_NOUN,"['изм', 'ист']"
волочь_INFN,[]
веществл_INFN,['ть']
сторож_ADJF,"['к', 'енн', 'ев']"
мил_NOUN,"['яг', 'нь', 'аш', 'к', 'ни', 'ени', 'очк', 'ость', 'ок', 'ост', 'ын']"
полн_PRTF,"['енн', 'явш', 'ем', 'ющ', 'ивш', 'евш', 'еющ']"
тир_ADJF,"['н', 'ск']"
электр_NOUN,"['он', 'ик', 'щик', 'ин', 'ость', 'еств', 'к', 'аци']"
аншеф_NOUN,[]
дом_NOUN,"['ниц', 'ни', 'ец', 'овин', 'ищ', 'ник', 'ени', 'ик', 'ок', 'ость', 'ишк', 'ин', 'ов', 'ост']"
туп_ADJF,"['ов', 'оват', 'ел']"
постул_PRTF,['нн']
структур_ADJF,"['н', 'ск']"
евгенич_ADJF,['еск']
балак_INFN,['ть']
захолуст_ADJF,['н']
лохань_NOUN,[]
ши_PRTF,"['т', 'нн', 'ющ', 'вш']"
завр_NOUN,[]
талан_ADJF,"['н', 'лив']"
кений_ADJF,['ск']
схим_NOUN,"['еств', 'ниц', 'ник']"
фер_ADJF,['н']
блаж_ADJF,"['н', 'енн']"
прудон_ADJF,['ск']
би_NOUN,"['ость', 'к', 'ть', 'ти', 'оз', 'ов', 'ок', 'т', 'ек', 'щик', 'ени', 'н', 'чик', 'чиц', 'ни', 'в']"
ниж_NOUN,"['ени', 'ост']"
дром_NOUN,"['ик', 'а', 'ер']"
страст_NOUN,"['к', 'и', 'ость', 'ишк', 'ник', 'ниц', 'ост']"
цар_NOUN,"['н', 'ек', 'ни', 'изм', 'иц', 'ич', 'и', 'ств', 'ени']"
шпон_ADJF,['н']
соч_INFN,['ть']
ильм_NOUN,[]
форс_INFN,['ть']
нищ_NOUN,"['ств', 'к', 'ет', 'ни', 'ани']"
интерес_ADJF,"['н', 'нн']"
хорд_ADJF,"['ов', 'ые']"
важ_INFN,"['ть', 'ив']"
цель_ADJF,['н']
двиг_NOUN,"['тель', 'ни', 'ател']"
гаван_NOUN,[]
кристалл_ADJF,"['ическ', 'онн', 'н', 'авш', 'еск']"
фосф_ADJF,"['н', 'ов']"
метоним_ADJF,"['ическ', 'ичн']"
руш_INFN,['ть']
хим_ADVB,['ическ']
брон_NOUN,"['ев', 'к', 'ик', 'ани']"
тамил_NOUN,['к']
вельмож_ADJF,"['еск', 'н']"
протестант_NOUN,"['к', 'изм', 'ств']"
равн_INFN,"['ть', 'ив']"
автоном_NOUN,"['ист', 'аци', 'и', 'ост']"
мрач_NOUN,"['ени', 'ост']"
мод_NOUN,"['атор', 'аци', 'к', 'ни', 'иц', 'ик', 'нь', 'ост', 'ов']"
конфет_NOUN,"['ниц', 'к', 'чиц', 'ин']"
характер_INFN,['ть']
эрз_ADJF,['ск']
зулус_NOUN,['к']
борозд_NOUN,"['к', 'ник', 'ни']"
борт_INFN,['ть']
опыт_ADJF,['н']
лобк_ADJF,['ов']
краш_INFN,"['ть', 'ив', 'ать']"
варан_NOUN,[]
вораш_INFN,['ть']
кваш_INFN,['ть']
иллион_NOUN,[]
копчик_NOUN,[]
волн_ADJF,"['ов', 'ист', 'н', 'ующ']"
шал_INFN,['ть']
рабат_NOUN,"['ни', 'ость']"
ста_ADJF,"['ск', 'н']"
прекрат_INFN,['ть']
ляп_INFN,['ть']
пас_ADJF,"['еск', 'н', 'лив', 'ов', 'ий']"
бедн_ADJF,"['л', 'ейш']"
золач_INFN,['ть']
лотерей_ADJF,['н']
клик_NOUN,"['ни', 'уш', 'еств']"
плазм_NOUN,['оз']
верч_PRTF,['енн']
бакалей_ADJF,['н']
кочев_NOUN,"['ник', 'к', 'ниц', 'ни']"
параф_PRTF,['нн']
маст_ADJF,"['н', 'ист']"
текстур_NOUN,[]
теч_ADJF,['н']
ыск_INFN,"['ть', 'ив']"
мортир_ADJF,['н']
гност_ADJF,['ическ']
един_INFN,['ть']
сиз_ADJF,"['оват', 'н']"
батуд_NOUN,[]
злак_ADJF,['ов']
польз_NOUN,"['ни', 'тель', 'ани', 'ател']"
стенд_NOUN,"['ик', 'к']"
балд_NOUN,"['еж', 'ни', 'уй']"
утилитар_NOUN,"['изм', 'к', 'ист']"
цел_NOUN,"['ени', 'ин', 'ник', 'тель', 'ни', 'ость', 'ик', 'ост', 'ани']"
итератив_ADJF,['н']
бельги_NOUN,['ец']
клозет_ADJF,['н']
меч_NOUN,"['ость', 'ник', 'ани', 'ост']"
канарееч_NOUN,"['к', 'ник']"
физ_ADJF,"['еск', 'ическ']"
ладон_ADJF,['н']
будораж_INFN,['ть']
интуит_NOUN,['изм']
кудр_ADJF,"['еват', 'яв']"
кле_PRTF,"['енн', 'ящ', 'ий', 'авш', 'аем', 'ающ', 'ивш']"
засед_INFN,['ть']
ассигн_PRTF,['нн']
санитар_ADJF,['н']
ста_INFN,"['ть', 'ив']"
плавл_INFN,['ть']
мут_INFN,['ть']
вуз_ADJF,"['ск', 'ком']"
жар_PRTF,"['енн', 'ивш', 'ящ']"
трел_INFN,['ть']
преступ_NOUN,"['ниц', 'ник']"
упор_ADJF,"['ист', 'н']"
марокк_NOUN,"['ец', 'к']"
быч_NOUN,"['ин', 'к', 'ок']"
франциск_ADJF,['ск']
мал_INFN,['ть']
мя_PRTF,"['т', 'вш']"
фрез_PRTF,['нн']
тундр_ADJF,"['ов', 'ен']"
глод_PRTF,['нн']
карауль_NOUN,"['н', 'щик']"
артр_ADJF,"['н', 'ическ']"
мащ_PRTF,['енн']
скирд_INFN,['ть']
ундин_NOUN,[]
луч_INFN,['ть']
глад_INFN,['ть']
колыбель_NOUN,[]
салазоч_ADJF,['н']
этил_ADJF,['ов']
морщ_INFN,['ть']
трансцендент_NOUN,['изм']
ключ_ADVB,['тельн']
цеж_PRTF,['енн']
куп_INFN,['ть']
шеф_INFN,['ть']
сек_ADJF,"['ущ', 'ий', 'ом']"
гран_INFN,"['ть', 'ич', 'ив']"
нот_ADJF,['н']
топ_INFN,['ть']
вест_NOUN,"['ник', 'к', 'ниц', 'и', 'ец', 'ост']"
жолк_INFN,['ть']
буд_GRND,"['учи', 'я', 'ив', 'ши']"
политич_ADJF,['еск']
перспектив_NOUN,[]
фебель_ADJF,['ск']
лож_ADJF,"['енн', 'ист', 'н', 'ев', 'им', 'еск', 'инн']"
пед_NOUN,['и']
говор_ADJF,"['ящ', 'н', 'чив', 'к']"
лиственниц_NOUN,['н']
болот_ADJF,"['н', 'ист']"
прода_INFN,['ть']
фокус_NOUN,"['к', 'ник', 'нь', 'ниц']"
голь_NOUN,['ян']
истер_NOUN,"['ик', 'к', 'ост', 'и']"
плут_INFN,['ть']
мяс_ADJF,"['ист', 'н', 'к']"
масон_NOUN,['ств']
взвод_ADVB,['н']
горб_INFN,['ть']
рельс_ADJF,['ов']
зелен_INFN,['ть']
муж_NOUN,"['еств', 'енек', 'ость', 'к', 'ок', 'и', 'чин', 'онк', 'лан', 'ик', 'ни', 'ост']"
энерг_ADJF,"['ическ', 'к', 'ичн', 'еск']"
искренн_NOUN,['ость']
отваж_ADJF,['н']
ве_INFN,"['ть', 'в', 'ив']"
молв_ADJF,['н']
определ_ADJF,"['им', 'енн']"
осок_ADJF,['ов']
фок_NOUN,[]
целомудр_NOUN,"['ость', 'и']"
субсид_INFN,['ть']
ирис_ADJF,['ов']
язв_NOUN,"['очк', 'ик', 'ость', 'к', 'ин']"
топыр_INFN,['ть']
паюс_ADJF,['н']
валь_PRTF,['нн']
штрих_INFN,['ть']
овод_ADJF,['ов']
корт_NOUN,[]
уголовн_ADJF,['н']
алтын_NOUN,"['ниц', 'н', 'ник']"
квакер_ADJF,['ск']
скоморош_NOUN,['еств']
прус_NOUN,['ак']
префект_NOUN,['ур']
педиатр_ADJF,['ическ']
корабел_NOUN,[]
идиот_ADJF,"['ическ', 'ск']"
полз_INFN,"['ть', 'ти', 'т']"
парус_ADJF,['н']
молод_ADVB,"['к', 'у']"
подпруг_NOUN,[]
сазан_ADJF,['ий']
ман_ADJF,"['ск', 'ящ', 'н', 'чив']"
дуд_ADJF,['чат']
платан_NOUN,[]
климат_NOUN,"['ни', 'аци']"
остр_NOUN,"['як', 'ени', 'ик', 'к', 'ост']"
жир_ADJF,"['ов', 'н', 'ел', 'ющ', 'енн']"
лягушеч_NOUN,['ник']
компил_INFN,['ть']
отороч_PRTF,['енн']
клейм_INFN,['ть']
сегрег_NOUN,['аци']
меш_NOUN,"['к', 'ни', 'ств', 'ени', 'ость', 'и', 'ани', 'анин']"
кавальер_NOUN,[]
оборудова_PRTF,['нн']
йот_NOUN,"['ни', 'аци']"
демон_NOUN,[]
тюбинг_ADJF,['ов']
вербен_ADJF,['ов']
армей_ADJF,['ск']
мак_NOUN,"['ник', 'иц', 'к', 'ни', 'ин', 'ль', 'щик']"
синдиц_INFN,['ть']
бласт_NOUN,['ом']
ави_ADJF,"['онн', 'ск']"
ушеч_NOUN,"['к', 'ник']"
морал_NOUN,"['изм', 'аци', 'ист', 'к', 'ни', 'ств', 'атор']"
граждан_ADJF,['ск']
покер_ADJF,['н']
ставл_NOUN,"['ени', 'ик', 'иц']"
страх_INFN,['ть']
кавалер_ADJF,['ск']
княж_ADJF,"['ий', 'еск']"
досуг_NOUN,[]
литр_NOUN,"['к', 'аж']"
худож_ADJF,"['енн', 'еск']"
стяг_NOUN,[]
ком_NOUN,"['ок', 'еди', 'ант', 'ни', 'ик', 'ек', 'ец', 'ств', 'изм', 'к']"
стег_PRTF,"['т', 'нн']"
печат_PRTF,['нн']
франциск_NOUN,['ец']
целова_PRTF,['нн']
грец_ADJF,['к']
весен_ADJF,['н']
плать_NOUN,"['щиц', 'иц', 'ишк']"
содерж_NOUN,"['ни', 'тель', 'ость', 'им', 'ниц']"
ильон_NOUN,[]
брызг_PRTF,"['нн', 'ющ']"
стоп_NOUN,"['и', 'к', 'ор']"
стра_NOUN,['ни']
