,Imp,Perf
1151,оскорблять,оскорбить
1152,оскорбляться,оскорбиться
1153,ослабевать,ослабеть
1154,ослаблять,ослабить
1155,ослеплять,ослепить
1156,осложнять,осложнить
1157,осложняться,осложниться
1158,осматривать,осмотреть
1159,осматриваться,осмотреться
1160,осмеивать,осмеять
1161,осмеливаться,осмелиться
1162,осмысливать,осмыслить
1163,осмыслять,осмыслить
1164,оснащать,оснастить
1165,основывать,основать
1166,основываться,основаться
1167,осознавать,осознать
1168,оспаривать,оспорить
1169,оставаться,остаться
1170,оставлять,оставить
1171,останавливать,остановить
1172,останавливаться,остановиться
1173,остужать,остудить
1174,оступаться,оступиться
1175,остывать,остыть
1176,осуждать,осудить
1177,осушать,осушить
1178,осуществлять,осуществить
1179,осуществляться,осуществиться
1180,осыпать,осыпать
1181,осыпаться,осыпаться
1182,отбегать,отбежать
1183,отбеливать,отбелить
1184,отбивать,отбить
1185,отбиваться,отбиться
1186,отбирать,отобрать
1187,отбраковывать,отбраковать
1188,отбрасывать,отбросать
1189,отбрасывать,отбросить
1190,отбывать,отбыть
1191,отваживаться,отважиться
1192,отваливаться,отвалиться
1193,отваривать,отварить
1194,отвергать,отвергнуть
1195,ответвляться,ответвиться
1196,отвечать,ответить
1197,отвлекать,отвлечь
1198,отвлекаться,отвлечься
1199,отводить,отвести
1200,отвоевывать,отвоевать
1201,отвозить,отвезти
1202,отворачивать,отвернуть
1203,отворачиваться,отвернуться
1204,отвращать,отвратить
1205,отгадывать,отгадать
1206,отговаривать,отговорить
1207,отгонять,отогнать
1208,отгораживать,отгородить
1209,отгораживаться,отгородиться
1210,отгружать,отгрузить
1211,отдавать,отдать
1212,отдаваться,отдаться
1213,отдалять,отдалить
1214,отдаляться,отдалиться
1215,отделывать,отделать
1216,отделываться,отделаться
1217,отделять,отделить
1218,отделяться,отделиться
1219,отдыхать,отдохнуть
1220,отекать,отечь
1221,отжимать,отжать
1222,отжиматься,отжаться
1223,отзывать,отозвать
1224,отзываться,отозваться
1225,отказывать,отказать
1226,отказываться,отказаться
1227,откалываться,отколоться
1228,откапывать,откопать
1229,откармливать,откормить
1230,откатываться,откатиться
1231,откачивать,откачать
1232,откидывать,откинуть
1233,откидываться,откинуться
1234,откладывать,отложить
1235,откладываться,отложиться
1236,откликаться,откликнуться
1237,отклонять,отклонить
1238,отклоняться,отклониться
1239,отключать,отключить
1240,отключаться,отключиться
1241,открещиваться,откреститься
1242,откручивать,открутить
1243,открывать,открыть
1244,открываться,открыться
1245,откупаться,откупиться
1246,откусывать,откусить
1247,отлавливать,отловить
1248,отлагаться,отложиться
1249,отлаживать,отладить
1250,отламывать,отломать
1251,отламывать,отломить
1252,отлетать,отлететь
1253,отливать,отлить
1254,отличать,отличить
1255,отличаться,отличиться
1256,отлучать,отлучить
1257,отлучаться,отлучиться
1258,отмазывать,отмазать
1259,отмахиваться,отмахнуться
1260,отмежевываться,отмежеваться
1261,отменять,отменить
1262,отменяться,отмениться
1263,отмерять,отмерить
1264,отметать,отмести
1265,отмечать,отметить
1266,отмечаться,отметиться
1267,отмирать,отмереть
1268,отмывать,отмыть
1269,отнимать,отнять
1270,отниматься,отняться
1271,относить,отнести
1272,относиться,отнестись
1273,отображать,отобразить
1274,отображаться,отобразиться
1275,отодвигать,отодвинуть
1276,отодвигаться,отодвинуться
1277,отождествлять,отождествить
1278,отпадать,отпасть
1279,отпевать,отпеть
1280,отпиливать,отпилить
1281,отпирать,отпереть
1282,отплывать,отплыть
1283,отправлять,отправить
1284,отправляться,отправиться
1285,отпрашиваться,отпроситься
1286,отпугивать,отпугнуть
1287,отпускать,отпустить
1288,отрабатывать,отработать
1289,отравлять,отравить
1290,отравляться,отравиться
1291,отражать,отразить
1292,отражаться,отразиться
1293,отрастать,отрасти
1294,отращивать,отрастить
1295,отрезать,отрезать
1296,отрезвлять,отрезвить
1297,отрекаться,отречься
1298,отрубать,отрубить
1299,отрывать,оторвать
1300,отрывать,отрыть
1301,отрываться,оторваться
1302,отсеивать,отсеять
1303,отсеиваться,отсеяться
1304,отсекать,отсечь
1305,отселять,отселить
1306,отсиживаться,отсидеться
1307,отскакивать,отскочить
1308,отслаиваться,отслоиться
1309,отслеживать,отследить
1310,отсоединять,отсоединить
1311,отсоединяться,отсоединиться
1312,отставать,отстать
1313,отстаивать,отстоять
1314,отстраивать,отстроить
1315,отстраиваться,отстроиться
1316,отстранять,отстранить
1317,отстраняться,отстраниться
1318,отстреливать,отстрелить
1319,отстреливать,отстрелять
1320,отстреливаться,отстреляться
1321,отступать,отступить
1322,отступаться,отступиться
1323,отсчитывать,отсчитать
1324,отсылать,отослать
1325,отсыпать,отсыпать
1326,отсыпаться,отсыпаться
1327,оттаивать,оттаять
1328,отталкивать,оттолкнуть
1329,отталкиваться,оттолкнуться
1330,оттаскивать,оттащить
1331,оттачивать,отточить
1332,оттенять,оттенить
1333,оттеснять,оттеснить
1334,отторгать,отторгнуть
1335,оттягивать,оттянуть
1336,отучать,отучить
1337,отфильтровывать,отфильтровать
1338,отходить,отойти
1339,отцеплять,отцепить
1340,отчаиваться,отчаяться
1341,отчислять,отчислить
1342,отчитывать,отчитать
1343,отчитываться,отчитаться
1344,отчуждать,отчудить
1345,отшучиваться,отшутиться
1346,отъезжать,отъехать
1347,отыгрывать,отыграть
1348,отыгрываться,отыграться
1349,отыскивать,отыскать
1350,отягощать,отяготить
1351,оформлять,оформить
1352,оформляться,оформиться
1353,охватывать,охватить
1354,охлаждать,охладить
1355,охлаждаться,охладиться
1356,оценивать,оценить
1357,оцеплять,оцепить
1358,очаровывать,очаровать
1359,очернять,очернить
1360,очерчивать,очертить
1361,очищать,очистить
1362,очищаться,очиститься
1363,ошеломлять,ошеломить
1364,ошибаться,ошибиться
1365,ощущать,ощутить
1366,переадресовывать,переадресовать
1367,перебарщивать,переборщить
1368,перебегать,перебежать
1369,перебивать,перебить
1370,перебирать,перебрать
1371,перебираться,перебраться
1372,перебрасывать,перебросить
1373,перебрасываться,переброситься
1374,переваливать,перевалить
1375,переваривать,переварить
1376,перевешивать,перевесить
1377,переводить,перевести
1378,переводиться,перевестись
1379,перевозить,перевезти
1380,перевоплощаться,перевоплотиться
1381,переворачивать,перевернуть
1382,переворачиваться,перевернуться
1383,перевоспитывать,перевоспитать
1384,перевыполнять,перевыполнить
1385,перевязывать,перевязать
1386,перегибать,перегнуть
1387,перегонять,перегнать
1388,перегораживать,перегородить
1389,перегреваться,перегреться
1390,перегружать,перегрузить
1391,перегруппировываться,перегруппироваться
1392,перегрызать,перегрызть
1393,передавать,передать
1394,передаваться,передаться
1395,передвигать,передвинуть
1396,передвигаться,передвинуться
1397,переделывать,переделать
1398,передергивать,передернуть
1399,передумывать,передумать
1400,переедать,переесть
1401,переезжать,переехать
1402,переживать,пережить
1403,пережидать,переждать
1404,перезаключать,перезаключить
1405,перезаписывать,перезаписать
1406,перезаряжать,перезарядить
1407,перезванивать,перезвонить
1408,переигрывать,переиграть
1409,переизбирать,переизбрать
1410,переиздавать,переиздать
1411,переименовывать,переименовать
1412,перекапывать,перекопать
1413,перекачивать,перекачать
1414,перекидывать,перекинуть
1415,перекидываться,перекинуться
1416,перекладывать,переложить
1417,переключать,переключить
1418,переключаться,переключиться
1419,перекраивать,перекроить
1420,перекрашивать,перекрасить
1421,перекрашиваться,перекраситься
1422,перекрещиваться,перекреститься
1423,перекрывать,перекрыть
1424,перекупать,перекупить
1425,перекусывать,перекусить
1426,переламывать,переломить
1427,перелезать,перелезть
1428,перелетать,перелететь
1429,переливать,перелить
1430,переливаться,перелиться
1431,перемалывать,перемолоть
1432,переманивать,переманить
1433,перематывать,перемотать
1434,перемешивать,перемесить
1435,перемешивать,перемешать
1436,перемешиваться,перемешаться
1437,перемещать,переместить
1438,перемещаться,переместиться
1439,переназначать,переназначить
1440,перенимать,перенять
1441,переносить,перенести
1442,переноситься,перенестись
1443,переодевать,переодеть
1444,переодеваться,переодеться
1445,переосмысливать,переосмыслить
1446,переоформлять,переоформить
1447,переоценивать,переоценить
1448,перепевать,перепеть
1449,перепечатывать,перепечатать
1450,переписывать,переписать
1451,переплавлять,переплавить
1452,переплачивать,переплатить
1453,переплетать,переплести
1454,переплывать,переплыть
1455,переполнять,переполнить
1456,переполняться,переполниться
1457,переправлять,переправить
1458,переправляться,переправиться
1459,перепроверять,перепроверить
1460,перепродавать,перепродать
1461,перепрыгивать,перепрыгнуть
1462,перерабатывать,переработать
1463,перераспределять,перераспределить
1464,перерастать,перерасти
1465,перерезать,перерезать
1466,перерисовывать,перерисовать
1467,перерождаться,переродиться
1468,пересаживать,пересадить
1469,пересаживаться,пересесть
1470,пересдавать,пересдать
1471,пересекать,пересечь
1472,пересекаться,пересечься
1473,переселять,переселить
1474,переселяться,переселиться
1475,пересказывать,пересказать
1476,перескакивать,перескочить
1477,пересматривать,пересмотреть
1478,переснимать,переснять
1479,переспрашивать,переспросить
1480,переставать,перестать
1481,переставлять,переставить
1482,перестраивать,перестроить
1483,перестраиваться,перестроиться
1484,перестраховываться,перестраховаться
1485,переступать,переступить
1486,пересчитывать,пересчитать
1487,пересылать,переслать
1488,пересыпать,переспать
1489,пересыпать,пересыпать
1490,пересыхать,пересохнуть
1491,перетаскивать,перетащить
1492,перетекать,перетечь
1493,перетягивать,перетянуть
1494,переубеждать,переубедить
1495,переучиваться,переучиться
1496,перехватывать,перехватить
1497,переходить,перейти
1498,перечеркивать,перечеркнуть
1499,перечислять,перечислить
1500,перечитывать,перечесть
1501,перечитывать,перечитать
1502,перешагивать,перешагнуть
1503,пленять,пленить
1504,побеждать,победить
1505,побивать,побить
1506,побуждать,побудить
1507,повергать,повергнуть
1508,повертывать,повернуть
1509,поверять,поверить
1510,повисать,повиснуть
1511,поводить,повести
1512,поворачивать,повернуть
1513,поворачиваться,повернуться
1514,повреждать,повредить
1515,повреждаться,повредиться
1516,повторять,повторить
1517,повторяться,повториться
1518,повышать,повысить
1519,повышаться,повыситься
1520,повязывать,повязать
1521,погашать,погасить
1522,погибать,погибнуть
1523,поглощать,поглотить
1524,погребать,погрести
1525,погружать,погрузить
1526,погружаться,погрузиться
1527,подавать,подать
1528,подаваться,податься
1529,подавлять,подавить
1530,подбадривать,подбодрить
1531,подбегать,подбежать
1532,подбивать,подбить
1533,подбирать,подобрать
1534,подбираться,подобраться
1535,подбрасывать,подбросить
1536,подвергать,подвергнуть
1537,подвергаться,подвергнуться
1538,подвешивать,подвесить
1539,подвигать,подвинуть
1540,подвигаться,подвинуться
1541,подводить,подвести
1542,подвозить,подвезти
1543,подвязывать,подвязать
1544,подговаривать,подговорить
1545,подгонять,подогнать
1546,подготавливать,подготовить
1547,подготавливаться,подготовиться
1548,подготовлять,подготовить
1549,поддаваться,поддаться
1550,подделывать,подделать
1551,поддерживать,поддержать
1552,поджаривать,поджарить
1553,поджигать,поджечь
1554,поджимать,поджать
1555,подзаряжать,подзарядить
1556,подзывать,подозвать
1557,подкарауливать,подкараулить
1558,подкармливать,подкормить
1559,подкатывать,подкатить
1560,подкидывать,подкинуть
1561,подкладывать,подложить
1562,подключать,подключить
1563,подключаться,подключиться
1564,подкрадываться,подкрасться
1565,подкрашивать,подкрасить
1566,подкреплять,подкрепить
1567,подкрепляться,подкрепиться
1568,подкупать,подкупить
1569,подлетать,подлететь
1570,подливать,подлить
1571,подменять,подменить
1572,подмечать,подметить
1573,подмешивать,подмесить
1574,подмешивать,подмешать
1575,подмигивать,подмигнуть
1576,подминать,подмять
1577,подмывать,подмыть
1578,поднимать,поднять
1579,подниматься,подняться
1580,подносить,поднести
1581,подогревать,подогреть
1582,подпадать,подпасть
1583,подпирать,подпереть
1584,подписывать,подписать
1585,подписываться,подписаться
1586,подплывать,подплыть
1587,подправлять,подправить
1588,подпрыгивать,подпрыгнуть
1589,подпускать,подпустить
1590,подрабатывать,подработать
1591,подразделять,подразделить
1592,подрастать,подрасти
1593,подрезать,подрезать
1594,подрывать,подорвать
1595,подрываться,подорваться
1596,подсаживать,подсадить
1597,подсаживаться,подсесть
1598,подсвечивать,подсветить
1599,подселять,подселить
1600,подсказывать,подсказать
1601,подскакивать,подскочить
1602,подслушивать,подслушать
1603,подсматривать,подсмотреть
1604,подсовывать,подсунуть
1605,подсоединять,подсоединить
1606,подставлять,подставить
1607,подстегивать,подстегнуть
1608,подстерегать,подстеречь
1609,подстраивать,подстроить
1610,подстраиваться,подстроиться
1611,подстраховывать,подстраховать
1612,подстреливать,подстрелить
1613,подстригать,подстричь
1614,подступать,подступить
1615,подсушивать,подсушить
1616,подсчитывать,подсчитать
1617,подсылать,подослать
1618,подсыпать,подсыпать
1619,подсыхать,подсохнуть
1620,подталкивать,подтолкнуть
1621,подтапливать,подтопить
1622,подтасовывать,подтасовать
1623,подтачивать,подточить
1624,подтверждать,подтвердить
1625,подтверждаться,подтвердиться
1626,подтягивать,подтянуть
1627,подтягиваться,подтянуться
1628,подхватывать,подхватить
1629,подходить,подойти
1630,подчеркивать,подчеркнуть
1631,подчинять,подчинить
1632,подчиняться,подчиниться
1633,подчищать,подчистить
1634,подшивать,подшить
1635,подшучивать,подшутить
1636,подъезжать,подъехать
1637,подыгрывать,подыграть
1638,подымать,поднять
1639,подыматься,подняться
1640,подыскивать,подыскать
1641,подытоживать,подытожить
1642,пожимать,пожать
1643,пожинать,пожать
1644,пожирать,пожрать
1645,позволять,позволить
1646,поздравлять,поздравить
1647,познавать,познать
1648,показывать,показать
1649,показываться,показаться
1650,покидать,покинуть
1651,покорять,покорить
1652,покоряться,покориться
1653,покрывать,покрыть
1654,покрываться,покрыться
1655,покупать,купить
1656,покушаться,покуситься
1657,полагать,положить
1658,полагаться,положиться
1659,поливать,полить
1660,получать,получить
1661,получаться,получиться
1662,помечать,пометить
1663,помещать,поместить
1664,помещаться,поместиться
1665,поминать,помянуть
1666,помирать,помереть
1667,помогать,помочь
1668,помышлять,помыслить
1669,понижать,понизить
1670,понижаться,понизиться
1671,поникать,поникнуть
1672,понимать,понять
1673,понуждать,понудить
1674,поощрять,поощрить
1675,попадать,попасть
1676,попадаться,попасться
1677,попирать,попрать
1678,пополнять,пополнить
1679,пополняться,пополниться
1680,поправлять,поправить
1681,поправляться,поправиться
1682,порабощать,поработить
1683,поражать,поразить
1684,поражаться,поразиться
1685,порождать,породить
1686,поручать,поручить
1687,поручаться,поручиться
1688,порывать,порвать
1689,порываться,порваться
1690,посвящать,посвятить
1691,поселять,поселить
1692,поселяться,поселиться
1693,посещать,посетить
1694,поскальзываться,поскользнуться
1695,поспевать,поспеть
1696,поставлять,поставить
1697,постановлять,постановить
1698,постигать,постигнуть
1699,постигать,постичь
1700,постригать,постричь
1701,поступать,поступить
1702,поступаться,поступиться
1703,посылать,послать
1704,посыпать,посыпать
1705,посыпаться,посыпаться
1706,посягать,посягнуть
1707,потреблять,потребить
1708,потрясать,потрясти
1709,похищать,похитить
1710,почитать,почесть
1711,появляться,появиться
1712,пояснять,пояснить
1713,превозмогать,превозмочь
1714,превосходить,превзойти
1715,превращать,превратить
1716,превращаться,превратиться
1717,превышать,превысить
1718,преграждать,преградить
1719,предавать,предать
1720,предаваться,предаться
1721,предварять,предварить
1722,предвосхищать,предвосхитить
1723,предлагать,предложить
1724,предназначать,предназначить
1725,предопределять,предопределить
1726,предоставлять,предоставить
1727,предостерегать,предостеречь
1728,предотвращать,предотвратить
1729,предохранять,предохранить
1730,предписывать,предписать
1731,предполагать,предположить
1732,предпочитать,предпочесть
1733,предпринимать,предпринять
1734,предрасполагать,предрасположить
1735,предрекать,предречь
1736,предрешать,предрешить
1737,предсказывать,предсказать
1738,представать,предстать
1739,представлять,представить
1740,представляться,представиться
1741,предугадывать,предугадать
1742,предупреждать,предупредить
1743,предусматривать,предусмотреть
1744,предъявлять,предъявить
1745,презирать,презреть
1746,преклонять,преклонить
1747,прекращать,прекратить
1748,прекращаться,прекратиться
1749,преломлять,преломить
1750,прельщать,прельстить
1751,пренебрегать,пренебречь
1752,преображать,преобразить
1753,преображаться,преобразиться
1754,преобразовывать,преобразовать
1755,преобразовываться,преобразоваться
1756,преодолевать,преодолеть
1757,преподавать,преподать
1758,преподносить,преподнести
1759,препровождать,препроводить
1760,прерывать,прервать
1761,прерываться,прерваться
1762,пресекать,пресечь
1763,преступать,преступить
1764,претворять,претворить
1765,претворяться,претвориться
1766,претерпевать,претерпеть
1767,преувеличивать,преувеличить
1768,преуменьшать,преуменьшить
1769,преумножать,преумножить
1770,преуспевать,преуспеть
1771,прибавлять,прибавить
1772,прибавляться,прибавиться
1773,прибегать,прибегнуть
1774,прибегать,прибежать
1775,прибивать,прибить
1776,прибирать,прибрать
1777,приближать,приблизить
1778,приближаться,приблизиться
1779,прибывать,прибыть
1780,приваривать,приварить
1781,прививать,привить
1782,прививаться,привиться
1783,привлекать,привлечь
1784,привносить,привнести
1785,приводить,привести
1786,привозить,привезти
1787,привыкать,привыкнуть
1788,привязывать,привязать
1789,привязываться,привязаться
1790,приглашать,пригласить
1791,приглушать,приглушить
1792,приглядываться,приглядеться
1793,приговаривать,приговорить
1794,пригонять,пригнать
1795,приготавливать,приготовить
1796,приготовлять,приготовить
1797,приготовляться,приготовиться
1798,придавать,придать
1799,придавливать,придавить
1800,придерживать,придержать
1801,придираться,придраться
1802,придумывать,придумать
1803,приезжать,приехать
1804,приживаться,прижиться
1805,прижимать,прижать
1806,прижиматься,прижаться
1807,приземляться,приземлиться
1808,признавать,признать
1809,признаваться,признаться
1810,призывать,призвать
1811,приказывать,приказать
1812,прикармливать,прикормить
1813,прикасаться,прикоснуться
1814,прикидывать,прикинуть
1815,прикидываться,прикинуться
1816,прикладывать,приложить
1817,прикладываться,приложиться
1818,приклеивать,приклеить
1819,приклеиваться,приклеиться
1820,приковывать,приковать
1821,прикреплять,прикрепить
1822,прикрепляться,прикрепиться
1823,прикрывать,прикрыть
1824,прикрываться,прикрыться
1825,прикуривать,прикурить
1826,прилагать,приложить
1827,прилегать,прилечь
1828,прилетать,прилететь
1829,прилипать,прилипнуть
1830,приманивать,приманить
1831,применять,применить
1832,примерять,примерить
1833,примечать,приметить
1834,примирять,примирить
1835,примиряться,примириться
1836,примыкать,примкнуть
1837,принижать,принизить
1838,принимать,принять
1839,приниматься,приняться
1840,приносить,принести
1841,принуждать,принудить
1842,приобретать,приобрести
1843,приобщать,приобщить
1844,приобщаться,приобщиться
1845,приостанавливать,приостановить
1846,приостанавливаться,приостановиться
1847,приоткрывать,приоткрыть
1848,припадать,припасть
1849,приписывать,приписать
1850,приплывать,приплыть
1851,приподнимать,приподнять
1852,приподниматься,приподняться
1853,припоминать,припомнить
1854,приправлять,приправить
1855,приравнивать,приравнять
1856,прирастать,прирасти
1857,прирезать,прирезать
1858,приручать,приручить
1859,присаживаться,присесть
1860,присасываться,присосаться
1861,присваивать,присвоить
1862,приседать,присесть
1863,прислушиваться,прислушаться
1864,присматривать,присмотреть
1865,присматриваться,присмотреться
1866,присоединять,присоединить
1867,присоединяться,присоединиться
1868,приспосабливать,приспособить
1869,приспосабливаться,приспособиться
1870,приставать,пристать
1871,приставлять,приставить
1872,пристегивать,пристегнуть
1873,пристегиваться,пристегнуться
1874,пристраивать,пристроить
1875,пристраиваться,пристроиться
1876,пристреливать,пристрелить
1877,приступать,приступить
1878,присуждать,присудить
1879,присылать,прислать
1880,присыпать,присыпать
1881,присягать,присягнуть
1882,притворяться,притвориться
1883,притормаживать,притормозить
1884,притрагиваться,притронуться
1885,притуплять,притупить
1886,притягивать,притянуть
1887,приукрашивать,приукрасить
1888,приуменьшать,приуменьшить
1889,приумножать,приумножить
1890,приурочивать,приурочить
1891,приучать,приучить
1892,прихватывать,прихватить
1893,приходить,прийти
1894,приходиться,прийтись
1895,прицеливаться,прицелиться
1896,прицеплять,прицепить
1897,прицепляться,прицепиться
1898,причаливать,причалить
1899,причащать,причастить
1900,причащаться,причаститься
1901,причинять,причинить
1902,причислять,причислить
1903,пришивать,пришить
1904,пробегать,пробежать
1905,пробивать,пробить
1906,пробиваться,пробиться
1907,пробираться,пробраться
1908,пробуждать,пробудить
1909,пробуждаться,пробудиться
1910,проваливать,провалить
1911,проваливаться,провалиться
1912,проверять,проверить
1913,проверяться,провериться
1914,проветривать,проветрить
1915,провисать,провиснуть
1916,проводить,провести
1917,провожать,проводить
1918,провозглашать,провозгласить
1919,провозить,провезти
1920,проворачивать,провернуть
1921,прогибаться,прогнуться
1922,проглатывать,проглотить
1923,проглядывать,проглядеть
1924,проговаривать,проговорить
1925,проговариваться,проговориться
1926,прогонять,прогнать
1927,прогревать,прогреть
1928,прогреваться,прогреться
1929,прогуливать,прогулять
1930,прогуливаться,прогуляться
1931,продавать,продать
1932,продаваться,продаться
1933,продавливать,продавить
1934,продвигать,продвинуть
1935,продвигаться,продвинуться
1936,продевать,продеть
1937,проделывать,проделать
1938,продлевать,продлить
1939,продлять,продлить
1940,продолжать,продолжить
1941,продолжаться,продолжиться
1942,продувать,продуть
1943,продумывать,продумать
1944,проедать,проесть
1945,проезжать,проездить
1946,проезжать,проехать
1947,проживать,прожить
1948,прозревать,прозреть
1949,проигрывать,проиграть
1950,проигрываться,проиграться
1951,производить,произвести
1952,произносить,произнести
1953,происходить,произойти
1954,прокалывать,проколоть
1955,прокатывать,прокатить
1956,прокатываться,прокатиться
1957,прокачивать,прокачать
1958,прокладывать,проложить
1959,проклинать,проклясть
1960,прокрадываться,прокрасться
1961,прокручивать,прокрутить
1962,проламывать,проломить
1963,пролегать,пролечь
1964,пролезать,пролезть
1965,пролетать,пролететь
1966,проливать,пролить
1967,проливаться,пролиться
1968,пролистывать,пролистать
1969,проматывать,промотать
1970,промахиваться,промахнуться
1971,промерзать,промерзнуть
1972,промывать,промыть
1973,пронзать,пронзить
1974,пронизывать,пронизать
1975,проникать,проникнуть
1976,проникаться,проникнуться
1977,проносить,пронести
1978,проноситься,пронестись
1979,пропадать,пропасть
1980,пропивать,пропить
1981,прописывать,прописать
1982,прописываться,прописаться
1983,пропитывать,пропитать
1984,пропитываться,пропитаться
1985,проплывать,проплыть
1986,пропускать,пропустить
1987,прорабатывать,проработать
1988,прорастать,прорасти
1989,прорезать,прорезать
1990,прорезаться,прорезаться
1991,прорисовывать,прорисовать
1992,прорубать,прорубить
1993,прорывать,прорвать
1994,прорывать,прорыть
1995,прорываться,прорваться
1996,просачиваться,просочиться
1997,просверливать,просверлить
1998,просветлять,просветлить
1999,просвечивать,просветить
2000,просвещать,просветить
2001,проседать,просесть
2002,просеивать,просеять
2003,просиживать,просидеть
2004,проскакивать,проскакать
2005,проскакивать,проскочить
2006,проскальзывать,проскользнуть
2007,прославлять,прославить
2008,прославляться,прославиться
2009,прослеживать,проследить
2010,прослушивать,прослушать
2011,просматривать,просмотреть
2012,просовывать,просунуть
2013,проставлять,проставить
2014,простаивать,простоять
2015,простреливать,прострелить
2016,проступать,проступить
2017,просушивать,просушить
2018,просчитывать,просчитать
2019,просыпаться,проснуться
2020,просыпаться,просыпаться
2021,просыхать,просохнуть
2022,проталкивать,протолкнуть
2023,проталкиваться,протолкнуться
2024,протаскивать,протащить
2025,протекать,протечь
2026,противопоставлять,противопоставить
2027,протирать,протереть
2028,протискиваться,протиснуться
2029,протыкать,проткнуть
2030,протыкать,протыкать
2031,протягивать,протянуть
2032,протягиваться,протянуться
2033,прохаживаться,пройтись
2034,проходить,пройти
2035,прочесывать,прочесать
2036,прочитывать,прочесть
2037,прочитывать,прочитать
2038,прочищать,прочистить
2039,прошивать,прошить
2040,прощать,простить
2041,прощаться,проститься
2042,прощупывать,прощупать
2043,проявлять,проявить
2044,проявляться,проявиться
2045,прояснять,прояснить
2046,проясняться,проясниться
2047,пускать,пустить
2048,пускаться,пуститься
2049,разбавлять,разбавить
2050,разбегаться,разбежаться
2051,разбивать,разбить
2052,разбиваться,разбиться
2053,разбирать,разобрать
2054,разбираться,разобраться
2055,разбрасывать,разбросать
2056,разбрасывать,разбросить
2057,разбухать,разбухнуть
2058,разваливать,развалить
2059,разваливать,развалять
2060,разваливаться,развалиться
2061,разведывать,разведать
2062,развеивать,развеять
2063,развенчивать,развенчать
2064,развертывать,развернуть
2065,развертываться,развернуться
2066,развешивать,развесить
2067,развешивать,развешать
2068,развивать,развить
2069,развиваться,развиться
2070,развлекать,развлечь
2071,развлекаться,развлечься
2072,разводить,развести
2073,разводиться,развестись
2074,развозить,развезти
2075,разворачивать,развернуть
2076,разворачивать,разворотить
2077,разворачиваться,развернуться
2078,разворовывать,разворовать
2079,развращать,развратить
2080,развязывать,развязать
2081,развязываться,развязаться
2082,разгадывать,разгадать
2083,разгибать,разогнуть
2084,разглашать,разгласить
2085,разговаривать,разговорить
2086,разгонять,разогнать
2087,разгоняться,разогнаться
2088,разгораться,разгореться
2089,разграничивать,разграничить
2090,разгружать,разгрузить
2091,разгружаться,разгрузиться
2092,раздавать,раздать
2093,раздаваться,раздаться
2094,раздавливать,раздавить
2095,раздвигать,раздвинуть
2096,раздевать,раздеть
2097,раздеваться,раздеться
2098,разделывать,разделать
2099,разделять,разделить
2100,разделяться,разделиться
2101,раздирать,разодрать
2102,раздражать,раздражить
2103,раздувать,раздуть
2104,раздуваться,раздуться
2105,раздумывать,раздумать
2106,разжигать,разжечь
2107,разжимать,разжать
2108,разлагать,разложить
2109,разлагаться,разложиться
2110,разламывать,разломать
2111,разламывать,разломить
2112,разлетаться,разлететься
2113,разливать,разлить
2114,разливаться,разлиться
2115,различать,различить
2116,разлучать,разлучить
2117,разлучаться,разлучиться
2118,размазывать,размазать
2119,размалывать,размолоть
2120,разматывать,размотать
2121,разменивать,разменять
2122,разметать,размести
2123,размечать,разметить
2124,размешивать,размесить
2125,размешивать,размешать
2126,размещать,разместить
2127,размещаться,разместиться
2128,разминать,размять
2129,разминаться,размяться
2130,размножать,размножить
2131,размножаться,размножиться
2132,размораживать,разморозить
2133,размывать,размыть
2134,размыкать,разомкнуть
2135,разнимать,разнять
2136,разносить,разнести
2137,разноситься,разнестись
2138,разоблачать,разоблачить
2139,разобщать,разобщить
2140,разогревать,разогреть
2141,разогреваться,разогреться
2142,разоружать,разоружить
2143,разоружаться,разоружиться
2144,разорять,разорить
2145,разоряться,разориться
2146,разочаровывать,разочаровать
2147,разочаровываться,разочароваться
2148,разрабатывать,разработать
2149,разражаться,разразиться
2150,разрастаться,разрастись
2151,разрезать,разрезать
2152,разрезаться,разрезаться
2153,разрешать,разрешить
2154,разрешаться,разрешиться
2155,разрисовывать,разрисовать
2156,разрубать,разрубить
2157,разрушать,разрушить
2158,разрушаться,разрушиться
2159,разрывать,разорвать
2160,разрывать,разрыть
2161,разрываться,разорваться
2162,разряжать,разрядить
2163,разряжаться,разрядиться
2164,разучивать,разучить
2165,разъединять,разъединить
2166,разъезжаться,разъехаться
2167,разъяснять,разъяснить
2168,разыгрывать,разыграть
2169,разыгрываться,разыграться
2170,разыскивать,разыскать
2171,раскаиваться,раскаяться
2172,раскалывать,расколоть
2173,раскалываться,расколоться
2174,раскаляться,раскалиться
2175,раскапывать,раскопать
2176,раскатывать,раскатать
2177,раскачивать,раскачать
2178,раскидывать,раскинуть
2179,раскладывать,разложить
2180,раскладываться,разложиться
2181,расклеивать,расклеить
2182,раскрашивать,раскрасить
2183,раскрашивать,раскрошить
2184,раскручивать,раскрутить
2185,раскручиваться,раскрутиться
2186,раскрывать,раскрыть
2187,раскрываться,раскрыться
2188,раскупать,раскупить
2189,распадаться,распасться
2190,распаковывать,распаковать
2191,распахивать,распахать
2192,распахивать,распахнуть
2193,распахиваться,распахнуться
2194,распечатывать,распечатать
2195,распивать,распить
2196,распиливать,распилить
2197,распинать,распять
2198,расписывать,расписать
2199,расписываться,расписаться
2200,расплавлять,расплавить
2201,расплавляться,расплавиться
