root,prefixes
плесн_NOUN,[]
солом_NOUN,[]
вещ_INFN,"['по', 'воз', 'за', 'из', 'на', 'о', 'пред']"
кукарек_INFN,['за']
каркас_ADJF,['бес']
разврат_ADJF,[]
пласт_INFN,"['рас', 'на', 'пере']"
крот_NOUN,['у']
хлор_INFN,[]
жесточ_INFN,"['у', 'о']"
час_ADJF,"['на', 'по', 'все']"
толп_NOUN,[]
одн_ADVB,['за']
волюнтар_NOUN,[]
реванш_ADJF,[]
йот_INFN,[]
режим_NOUN,[]
дельт_ADJF,[]
эпилепт_NOUN,[]
обык_INFN,"['при', 'по']"
квас_INFN,"['до', 'на', 'рас', 'под', 'вы', 'с', 'про', 'за', 'пере']"
тай_ADVB,['в']
хорват_ADJF,[]
таракан_ADJF,[]
ыгр_INFN,"['об', 'с', 'под', 'вз', 'от', 'раз']"
ономастик_NOUN,[]
лущ_PRTF,"['об', 'пере', 'по', 'под', 'вы', 'на', 'вз']"
прямл_PRTF,"['ис', 'вы', 'с', 'рас']"
бух_INFN,"['в', 'вз', 'под', 'за', 'на', 'по', 'раз']"
густ_ADVB,"['на', 'в']"
инверт_INFN,[]
средств_NOUN,[]
останавл_INFN,['при']
крокодил_ADJF,[]
конвенци_NOUN,[]
сейнер_ADJF,[]
ягуар_NOUN,[]
упор_NOUN,[]
квал_INFN,"['де', 'дис', 'пере']"
секуляр_PRTF,[]
надсаж_PRTF,[]
бром_ADJF,[]
рубид_NOUN,[]
полост_ADJF,['у']
пешеч_NOUN,[]
турбулентн_ADJF,[]
сцен_INFN,[]
кривл_INFN,"['пере', 'по', 'ис']"
деготь_NOUN,[]
ил_INFN,['за']
бумаж_ADJF,['у']
кал_INFN,"['пере', 'под', 'об', 'вы', 'до', 'на', 'над', 'за', 'с', 'ис', 'рас', 'по', 'про', 'у', 'в', 'не', 'о', 'при']"
бланк_NOUN,[]
ордин_ADJF,[]
саксауль_NOUN,[]
сардин_NOUN,[]
мирр_NOUN,[]
дарь_ADJF,"['за', 'при']"
грав_INFN,"['вы', 'на']"
част_ADJF,"['сверх', 'ультра', 'при']"
дистрибут_NOUN,[]
акробат_NOUN,[]
строи_ADJF,[]
комиссар_ADJF,[]
лед_NOUN,"['анти', 'об', 'под', 'на']"
перв_ADVB,"['в', 'на', 'с']"
смел_INFN,"['о', 'по']"
фуфыр_ADJF,['рас']
финики_NOUN,[]
мюрид_NOUN,[]
гном_NOUN,[]
ли_INFN,"['при', 'воз', 'с', 'под', 'в', 'вы', 'до', 'за', 'из', 'на', 'не', 'об', 'от', 'пере', 'по', 'про', 'раз']"
лих_NOUN,[]
хорон_NOUN,"['за', 'пере', 'по']"
вращ_ADJF,"['воз', 'не']"
департамент_NOUN,['гос']
тенз_ADJF,[]
фит_NOUN,[]
возраст_NOUN,[]
берлог_NOUN,[]
увечь_NOUN,[]
буден_NOUN,[]
стабил_INFN,['де']
колпач_INFN,['о']
шашеч_NOUN,[]
сем_ADJF,"['по', 'бес']"
искорен_INFN,[]
алюмин_ADJF,[]
брандахлыст_NOUN,[]
фабрик_NOUN,['у']
фьорд_NOUN,[]
картер_NOUN,[]
плант_INFN,['транс']
тем_PRTF,"['о', 'за', 'у', 'по', 'при', 'с']"
сентябрь_NOUN,[]
учит_INFN,"['не', 'до', 'пере']"
европ_INFN,['о']
ворч_INFN,"['на', 'по', 'раз', 'за']"
аккорд_ADJF,['с']
музиц_INFN,['по']
крыльц_ADJF,[]
желть_NOUN,['про']
капсул_NOUN,[]
пи_NOUN,"['про', 'вы', 'от', 'о', 'под']"
любл_PRTF,"['из', 'раз', 'воз', 'в']"
дол_ADVB,[]
салют_INFN,['от']
дум_NOUN,"['при', 'вы', 'об', 'в', 'за', 'на', 'про', 'раз']"
боч_INFN,"['из', 'под', 'с']"
баб_ADJS,[]
зна_INFN,"['раз', 'у', 'рас', 'по', 'с', 'о', 'обо', 'вы', 'до']"
звон_NOUN,"['тре', 'пере', 'по']"
филиппик_NOUN,[]
струн_NOUN,[]
хрип_PRTF,['о']
стандарт_NOUN,['не']
сорб_ADJF,['аб']
качуч_NOUN,[]
руч_INFN,"['при', 'об', 'в', 'вы', 'за', 'пере', 'по', 'пре']"
гар_NOUN,"['у', 'пере', 'на', 'раз', 'о', 'вы', 'при', 'за']"
корм_ADJF,"['от', 'под']"
кручин_ADJF,[]
печь_INFN,"['при', 'на', 'пере', 'с', 'под', 'за', 'вы', 'ис', 'до']"
стриптиз_NOUN,[]
амбрози_NOUN,[]
кольц_ADJF,[]
круг_ADJS,['на']
джейран_NOUN,[]
эксцентр_NOUN,[]
тангенс_NOUN,['ко']
европ_ADJF,"['вне', 'панъ']"
торф_NOUN,[]
пораж_NOUN,[]
крап_ADJF,[]
тверд_ADVB,['на']
коллизи_NOUN,[]
ванил_NOUN,[]
комплемент_NOUN,[]
шишк_ADJS,[]
дряб_PRTF,['о']
меньш_NOUN,"['пре', 'у']"
тождествл_NOUN,['о']
жереб_INFN,['о']
мобил_PRTF,"['де', 'от']"
перед_ADVB,"['к', 'в', 'с']"
дох_PRTF,"['пере', 'с', 'по', 'из', 'вы', 'в', 'вз', 'за', 'от', 'про']"
плес_PRTF,"['при', 'в', 'пере', 'вы', 'рас', 'до', 'от', 'за', 'с', 'о']"
пеклева_NOUN,[]
крыльц_NOUN,[]
герман_ADJF,[]
труб_INFN,"['от', 'на', 'рас', 'по', 'про']"
десят_ADVB,['в']
роман_INFN,[]
конструкт_ADJF,[]
причин_ADJF,['бес']
риз_ADJF,[]
норм_INFN,[]
ду_PRTF,"['от', 'с', 'об', 'пере', 'за']"
ястреб_NOUN,[]
информ_PRTF,['про']
прозект_ADJF,[]
инвентар_ADJF,[]
прав_ADJF,"['по', 'не', 'ис', 'вы', 'анти', 'меж', 'между', 'бес', 'у', 'за', 'с']"
безмен_NOUN,[]
ид_PRTF,[]
секрет_NOUN,[]
бойлер_NOUN,[]
ретин_NOUN,[]
лосьон_NOUN,[]
солидар_NOUN,[]
реестр_ADJF,[]
содерж_ADJF,['бес']
кар_NOUN,[]
комплект_INFN,"['с', 'до', 'у', 'пере', 'рас', 'не', 'раз']"
кафедр_NOUN,[]
конфитюр_NOUN,[]
врач_NOUN,[]
ружь_NOUN,[]
снабж_NOUN,[]
жид_INFN,"['раз', 'о', 'пере', 'под', 'с', 'вы', 'до']"
плы_ADJF,"['на', 'рас']"
гватемал_NOUN,[]
мел_ADJF,[]
отряж_PRTF,[]
содерж_PRTF,[]
адыгеец_NOUN,[]
индивид_PRTF,[]
штраф_INFN,"['о', 'про']"
офит_ADJF,[]
больш_INFN,[]
фиалк_NOUN,[]
бархат_ADJF,[]
кочк_NOUN,[]
участ_ADJF,['без']
бутон_NOUN,[]
ик_NOUN,[]
гвозд_NOUN,[]
пентагон_NOUN,[]
дер_NOUN,[]
крыл_VERB,[]
езн_ADJF,[]
сер_NOUN,"['о', 'бес', 'вы']"
лазурь_NOUN,[]
каш_NOUN,"['вы', 'в']"
ритм_ADJF,"['не', 'а']"
дикци_NOUN,[]
наж_ADJF,"['у', 'об']"
пит_NOUN,"['про', 'под', 'вос', 'в', 'за', 'на', 'у']"
тягч_ADJF,[]
пе_GRND,"['пере', 'в', 'рас', 'за', 'на']"
трансл_NOUN,['ре']
канонад_NOUN,[]
гаг_NOUN,[]
маст_ADJS,[]
лавок_NOUN,"['при', 'под']"
магнит_ADJF,"['диа', 'не', 'анти']"
ращ_PRTF,"['вз', 'вы', 'на', 'воз', 'с', 'по', 'про', 'из', 'раз', 'при', 'от', 'под']"
кок_INFN,"['пере', 'рас']"
нелюдим_ADJS,[]
болт_PRTF,"['за', 'с', 'пере', 'раз', 'о', 'вз', 'из', 'на', 'под', 'вы']"
доместик_NOUN,[]
улит_NOUN,[]
чабер_NOUN,[]
фемин_INFN,[]
кип_NOUN,"['с', 'вы', 'за', 'на']"
артери_ADJF,[]
толмач_INFN,[]
предель_ADJF,"['за', 'бес']"
пост_NOUN,[]
палач_NOUN,[]
жал_NOUN,[]
пуз_NOUN,[]
паяс_NOUN,[]
пасеч_ADJF,[]
щелоч_INFN,"['пере', 'вы']"
лучш_INFN,['у']
печаль_NOUN,[]
магн_ADJF,[]
клич_NOUN,['пере']
штемпел_INFN,"['пере', 'за', 'про']"
шероховат_NOUN,[]
карт_NOUN,[]
канцон_NOUN,[]
ым_NOUN,"['без', 'раз']"
воен_ADJF,['анти']
лесбий_ADJF,[]
ощ_INFN,['о']
донос_INFN,['не']
ятрыш_NOUN,[]
рж_NOUN,['не']
гипс_INFN,['за']
мул_NOUN,[]
кип_ADJF,['пере']
чест_INFN,"['о', 'бес']"
комк_PRTF,['ис']
мызг_PRTF,"['об', 'из', 'за']"
спрут_NOUN,[]
стрем_ADJF,[]
лосн_INFN,['за']
щуч_INFN,['при']
жутк_ADJF,[]
искорен_PRTF,[]
рожд_NOUN,"['пере', 'о', 'вы', 'воз', 'на', 'по', 'за']"
мурав_INFN,"['за', 'вы']"
шнур_PRTF,"['за', 'пере', 'про', 'рас']"
хим_ADJF,['микро']
расторг_PRTF,[]
обма_INFN,[]
киргиз_NOUN,[]
христос_NOUN,[]
раде_INFN,['по']
цикл_NOUN,"['анти', 'а', 'за']"
колошмат_INFN,"['от', 'рас']"
флейт_ADJF,[]
против_INFN,"['вос', 'су', 'о']"
работ_INFN,"['раз', 'не', 'до', 'от', 'при', 'об', 'по', 'на', 'в', 'про', 'у', 'под', 'за', 'пере', 'вы', 'с']"
кобель_NOUN,[]
гипнот_INFN,['за']
наруш_NOUN,[]
эфир_ADJF,[]
сатир_NOUN,[]
дл_NOUN,"['у', 'про']"
у_ADJF,['раз']
кобыл_NOUN,[]
ход_INFN,"['при', 'пере', 'рас', 'вы', 'нис', 'в', 'по', 'с', 'о', 'за', 'у', 'ис', 'из', 'про', 'пре', 'вос', 'вс', 'до', 'на', 'об', 'под']"
снащ_NOUN,['о']
хрен_NOUN,[]
грабаст_INFN,"['за', 'с']"
умл_INFN,"['в', 'раз', 'надо']"
молк_PRTF,"['с', 'при', 'у', 'за']"
итин_ADJF,[]
тверж_PRTF,"['за', 'вы']"
седел_NOUN,[]
останавл_ADJF,[]
аромат_ADJF,[]
слеп_ADVB,"['со', 'в']"
оском_NOUN,[]
прощ_ADJF,['у']
егерь_NOUN,[]
ходь_NOUN,[]
мист_PRTF,[]
египт_NOUN,[]
нечаянн_ADVB,[]
солом_ADJF,[]
ярмароч_ADJF,['предъ']
бетон_ADJF,[]
лун_ADJF,"['под', 'около', 'без', 'над']"
трепел_NOUN,[]
воображ_VERB,[]
сепар_INFN,[]
замш_NOUN,[]
тачеч_NOUN,[]
добр_PRTF,"['за', 'раз', 'о', 'по', 'с', 'у']"
седалищ_ADJF,[]
смальт_NOUN,[]
трахе_NOUN,[]
невзгод_NOUN,[]
подбород_ADJF,[]
оскорбл_INFN,[]
муэдзин_NOUN,[]
сей_NOUN,[]
мэр_NOUN,[]
дубл_NOUN,[]
саван_ADJF,[]
хвор_ADJF,[]
брыжееч_ADJF,[]
хламл_PRTF,['за']
кардамон_NOUN,[]
беркшир_ADJF,[]
смак_INFN,['по']
мут_PRTF,"['по', 'за', 'с']"
столбл_PRTF,['за']
таран_NOUN,[]
плевр_NOUN,[]
праст_NOUN,['вы']
венер_ADJF,[]
карат_NOUN,[]
ротор_ADJF,[]
притвор_NOUN,[]
верх_NOUN,"['без', 'по']"
рихт_INFN,[]
шплинт_NOUN,[]
тектон_NOUN,[]
попусти_ADJF,[]
чухон_NOUN,[]
серебр_INFN,"['по', 'вы', 'о', 'под', 'за']"
рафинад_NOUN,[]
диффузи_NOUN,[]
деп_ADJF,[]
забулдыж_ADJF,[]
гнет_ADJF,"['у', 'на']"
пикул_NOUN,[]
шалбер_NOUN,[]
пожар_ADJF,[]
низ_ADVB,"['по', 'с', 'к', 'в', 'ис', 'под', 'до', 'из']"
сит_ADJF,[]
шлеп_NOUN,['на']
торк_INFN,"['за', 'на']"
всегд_NOUN,['за']
муч_ADJF,['из']
худ_INFN,"['ис', 'про', 'по']"
лик_ADJF,['без']
маг_NOUN,['прод']
нейр_NOUN,[]
уме_ADJF,['не']
трафарет_NOUN,[]
халтур_ADJF,[]
пион_NOUN,[]
щипл_PRTF,[]
одобр_NOUN,['не']
хасид_NOUN,[]
мрач_INFN,"['о', 'по']"
хвост_INFN,[]
тя_ADJF,"['об', 'на']"
усерд_NOUN,[]
поднач_INFN,[]
мускус_NOUN,[]
сед_INFN,"['с', 'рас', 'про', 'вос', 'над', 'об', 'от', 'за', 'на', 'о', 'по', 'при']"
часовен_ADJF,[]
скор_ADJF,"['у', 'сверх', 'по']"
арк_NOUN,[]
чар_PRTF,"['раз', 'о', 'за']"
спазм_NOUN,[]
сери_NOUN,[]
сам_NOUN,[]
полип_ADJF,[]
дегт_ADJF,[]
ялт_NOUN,[]
ягель_NOUN,[]
леч_PRTF,"['по', 'не', 'за', 'из', 'до', 'вы', 'под', 'пере', 'про']"
бственн_PRCL,['со']
архитектонич_ADJF,[]
завод_ADJF,"['меж', 'у']"
двор_ADJF,"['на', 'по']"
колуп_PRTF,"['рас', 'про', 'по', 'вы', 'ис', 'от', 'под', 'на', 'с']"
муниципал_INFN,['де']
четк_ADJF,['не']
шеломл_INFN,['о']
глубж_COMP,['по']
греш_ADJF,"['не', 'по', 'без']"
щупь_ADVB,['о']
до_INFN,"['раз', 'с', 'из', 'пере', 'по', 'от', 'на', 'вы', 'под']"
сорб_PRTF,['аб']
одутл_NOUN,[]
здоровл_INFN,['о']
когт_NOUN,[]
сторн_PRTF,[]
тач_ADJF,"['в', 'при', 'об', 'с']"
отпрыск_ADJF,[]
верс_NOUN,"['ди', 'ин', 'кон', 'ре', 'э']"
цемент_NOUN,[]
гроз_ADJF,"['пред', 'после', 'без']"
фронт_ADJF,['при']
пуд_ADJF,"['у', 'по']"
квант_ADJF,[]
полк_NOUN,"['под', 'про']"
этиол_PRTF,[]
черт_ADJF,[]
рефлект_INFN,[]
олиф_INFN,['про']
вражд_NOUN,[]
олиф_NOUN,[]
памят_NOUN,['бес']
утроб_NOUN,['у']
дебош_NOUN,[]
креп_ADJF,"['у', 'от', 'при', 'за', 'не', 'о']"
господ_INFN,[]
отправ_ADJF,[]
зор_ADJF,"['об', 'бес', 'при', 'под', 'без', 'над', 'до', 'за', 'по', 'у']"
канч_INFN,"['за', 'до', 'при', 'о']"
шпаклев_INFN,"['за', 'про']"
зл_PRTF,"['обо', 'по', 'разо', 'о']"
сол_ADJF,"['бес', 'за', 'не']"
войск_ADJF,[]
суспенз_NOUN,[]
хрен_ADJF,[]
ям_NOUN,['при']
понт_INFN,['с']
супруг_NOUN,[]
помад_NOUN,[]
турбин_NOUN,[]
нерест_INFN,['от']
изюм_NOUN,[]
мелиор_NOUN,[]
ситалл_NOUN,[]
грес_INFN,"['про', 'с', 'от', 'под', 'о', 'на', 'при', 'пере', 'за', 'вы', 'до', 'раз', 'по']"
конспект_NOUN,[]
шнек_ADJF,[]
полит_NOUN,['а']
крест_ADJF,"['пере', 'о']"
топол_ADJF,[]
шурф_NOUN,[]
экспир_NOUN,[]
серед_ADVB,['по']
стагнаци_ADJF,[]
леп_INFN,"['от', 'при', 'раз', 'под', 'по', 'у', 'в', 'на', 'вы', 'об', 'до', 'за', 'не', 'пере', 'с']"
метр_INFN,"['про', 'за']"
колес_NOUN,[]
дверь_NOUN,[]
лопач_INFN,['пере']
флот_ADVB,['по']
фон_INFN,['про']
поваж_PRTF,[]
столеч_ADVB,['на']
рецепт_ADJF,[]
отчит_INFN,[]
троп_ADJF,[]
шед_ADJF,"['про', 'у', 'с']"
удобн_ADJF,['не']
тын_ADJF,[]
гротеск_ADJF,[]
кальк_INFN,"['с', 'де']"
соль_ADJF,"['по', 'рас', 'за', 'про']"
бутан_NOUN,[]
обед_INFN,"['по', 'от']"
струг_PRTF,"['от', 'вы', 'со', 'о', 'по', 'ис', 'за', 'об', 'под', 'про', 'при', 'пере', 'на']"
стряп_PRTF,"['от', 'со', 'об', 'на']"
норм_ADJF,"['сверх', 'а', 'не']"
перм_ADJF,[]
зор_INFN,"['бес', 'при']"
дуумвир_NOUN,[]
солод_INFN,"['рас', 'о', 'вы', 'на', 'пере']"
иждив_NOUN,[]
мертв_NOUN,['о']
мез_NOUN,[]
леж_ADJF,"['по', 'за', 'пере', 'близ', 'над', 'при']"
предлаг_INFN,[]
батрац_ADJF,[]
куб_NOUN,[]
каббал_NOUN,[]
плет_ADJF,"['о', 'с', 'пере']"
меринос_NOUN,[]
мут_ADJF,"['с', 'не', 'воз']"
кабан_NOUN,[]
пе_VERB,"['под', 'за']"
сал_PRTF,"['о', 'под', 'пере', 'на', 'ис', 'по', 'про', 'об']"
бонз_NOUN,[]
алкал_NOUN,[]
намек_INFN,[]
гвиней_NOUN,[]
пророч_NOUN,[]
спас_ADJF,['по']
чух_PRTF,['рас']
жалей_NOUN,[]
долж_NOUN,"['за', 'о', 'про']"
катаракт_NOUN,[]
бант_NOUN,[]
щур_INFN,"['за', 'при', 'по', 'со']"
пелерин_NOUN,[]
власть_NOUN,[]
общ_NOUN,"['раз', 'об', 'со', 'при']"
утюж_PRTF,"['от', 'пере', 'раз', 'за', 'про', 'вы', 'под']"
ро_ADJF,[]
иатр_NOUN,[]
семит_ADJF,['анти']
одеял_NOUN,[]
нагл_NOUN,[]
черп_ADJF,"['не', 'ис']"
стекл_NOUN,"['рас', 'орг', 'о', 'за']"
хандр_NOUN,[]
кавыч_INFN,"['рас', 'за']"
эскарп_INFN,[]
зю_INFN,['на']
заста_PRTF,[]
сосед_NOUN,[]
эвристик_NOUN,[]
закон_INFN,"['у', 'без']"
ац_ADJF,['при']
толст_INFN,"['рас', 'у', 'по']"
тог_NOUN,[]
влек_INFN,"['из', 'за', 'раз', 'от', 'со', 'при', 'во', 'на', 'у']"
абляци_ADJF,[]
розали_NOUN,[]
кос_ADVB,"['на', 'пере', 'ис']"
кизил_NOUN,[]
чабан_INFN,[]
узд_NOUN,"['раз', 'об', 'не', 'до']"
бок_ADJF,[]
шаль_ADJF,[]
прош_INFN,"['по', 'с']"
парализ_NOUN,[]
дебош_INFN,['на']
вишн_ADJF,[]
цац_INFN,[]
дискримин_NOUN,[]
лакмус_NOUN,[]
влаж_PRTF,"['у', 'пере']"
багр_NOUN,[]
пошл_NOUN,['о']
жасмин_NOUN,[]
материк_NOUN,[]
резин_INFN,"['об', 'про']"
лимон_NOUN,[]
настав_NOUN,[]
бук_NOUN,[]
навиг_NOUN,[]
искуш_ADJF,[]
весел_INFN,"['вз', 'воз', 'у', 'по', 'раз']"
аллювий_NOUN,[]
крик_NOUN,"['вы', 'по', 'о', 'вс']"
плющ_NOUN,[]
каталог_INFN,[]
фунд_INFN,[]
сладч_ADJF,[]
печатл_INFN,"['от', 'за']"
прост_ADVB,"['не', 'с', 'по', 'на', 'за']"
грей_NOUN,[]
юж_ADJF,[]
тырк_INFN,[]
треп_ADJF,[]
ориент_NOUN,"['дез', 'пере']"
земл_INFN,"['за', 'при']"
топт_PRTF,"['рас', 'по', 'пере', 'от', 'при', 'вы', 'об', 'на', 'про', 'ис', 'у', 'с', 'в', 'о', 'за']"
пуритан_ADJF,[]
дивизион_NOUN,[]
скаред_NOUN,[]
брюзг_NOUN,['о']
затей_ADJF,['не']
нефт_ADJF,[]
мальчик_NOUN,[]
терпент_ADJF,[]
дагестан_NOUN,[]
тапл_INFN,"['по', 'с', 'пере', 'об', 'о', 'от', 'про', 'вы', 'за', 'под', 'рас', 'у']"
ирис_NOUN,[]
созда_INFN,"['пере', 'вос']"
реценз_PRTF,"['от', 'про']"
прелест_ADJF,[]
унтер_ADJF,[]
вая_NOUN,[]
медицин_ADJF,[]
сверчк_ADJF,[]
кроп_NOUN,[]
жен_ADVB,['по']
обод_ADJF,[]
преступл_PRTF,[]
лос_ADJF,[]
сложн_PRTF,['о']
кровл_NOUN,"['о', 'бес']"
ориум_NOUN,[]
тысч_NOUN,[]
сад_INFN,"['пере', 'об', 'в', 'вы', 'при', 'до', 'за', 'на', 'о', 'от', 'под', 'по', 'про', 'рас', 'у']"
сибир_ADJF,['транс']
уступ_ADJF,['не']
облач_INFN,[]
тендер_NOUN,[]
барабан_NOUN,[]
берет_NOUN,[]
стуж_PRTF,"['про', 'по', 'пере', 'на', 'вы', 'за', 'о']"
вер_PRTF,"['по', 'раз', 'у', 'от', 'над', 'вы', 'в', 'до', 'за', 'об', 'на', 'пере', 'под', 'при', 'про', 'с']"
трактова_NOUN,[]
шаньг_NOUN,[]
тих_PRTF,"['за', 'с', 'при', 'у']"
важ_PRTF,"['от', 'при', 'за', 'у']"
посредственн_ADJF,['не']
каторж_NOUN,['с']
торч_ADVB,[]
конференци_NOUN,[]
жр_INFN,"['про', 'вы', 'до', 'за', 'на', 'обо', 'ото', 'пере', 'подо', 'по', 'со']"
сол_INFN,"['о', 'бес', 'при', 'вы', 'под', 'до', 'у', 'пере', 'про', 'за', 'на', 'по', 'об']"
зелен_ADJS,[]
смерт_NOUN,['бес']
хрон_ADJF,"['изо', 'а', 'син']"
формл_ADJF,"['не', 'о']"
мачт_NOUN,[]
проф_ADJF,[]
аджар_NOUN,[]
лин_NOUN,"['раз', 'не']"
вуал_INFN,['за']
спарт_ADJF,[]
социал_INFN,[]
макарон_NOUN,[]
культяпк_NOUN,[]
шлак_ADJF,[]
торос_INFN,['на']
деньг_NOUN,[]
дум_INFN,"['при', 'за', 'об', 'по', 'раз', 'о', 'на', 'вы', 'от', 'у', 'пере', 'про', 'вз', 'в', 'до', 'не']"
кид_ADJF,"['о', 'про', 'при', 'под', 'рас', 'на', 'вы', 'с', 'от', 'пере']"
борь_NOUN,[]
черств_ADJF,"['пере', 'за', 'по', 'о']"
громожд_INFN,"['за', 'вз', 'на']"
белен_ADJF,[]
болт_INFN,"['пере', 'о', 'с', 'вз', 'до', 'из', 'на', 'под', 'вы', 'раз', 'по', 'за']"
джинс_ADJF,[]
товар_INFN,"['за', 'о']"
ядрен_NOUN,[]
оборон_ADJF,[]
конспир_PRTF,['за']
уроч_ADJF,"['без', 'не', 'сверх', 'вне', 'по']"
молк_ADJF,"['не', 'с', 'у']"
акцент_ADJF,[]
сох_NOUN,[]
бород_ADJF,['без']
трихин_NOUN,[]
превосход_NOUN,[]
ним_INFN,"['вы', 'в', 'до', 'за', 'об', 'от', 'пере', 'под', 'по', 'при', 'про', 'с', 'у', 'пред', 'раз']"
дров_NOUN,[]
дор_NOUN,['за']
адрес_INFN,['пере']
самбук_NOUN,[]
шкур_ADJF,[]
бублич_ADJF,[]
ошиб_ADJF,['без']
ващ_INFN,"['под', 'на', 'вы']"
контрассигн_INFN,[]
атом_ADJF,"['меж', 'суб', 'без', 'внутри', 'противо']"
лютер_NOUN,[]
торк_PRTF,"['за', 'на']"
обык_PRTF,['при']
спектакль_NOUN,[]
модерн_NOUN,['пост']
камер_ADJF,['бес']
моль_NOUN,"['по', 'анти']"
документ_INFN,[]
акут_PRTF,[]
туж_PRTF,['на']
копч_ADJF,[]
предполож_PRTF,[]
руг_ADJF,['по']
вь_ADJF,[]
мок_NOUN,"['про', 'вы', 'от']"
очерет_NOUN,[]
руч_ADJF,"['у', 'не', 'с', 'под', 'на', 'по']"
метиз_NOUN,[]
дар_INFN,"['пере', 'о', 'от', 'об', 'на', 'раз', 'за', 'по']"
зелен_PRTF,"['о', 'по', 'за', 'на', 'вы', 'из']"
ловелас_NOUN,[]
туш_ADJF,[]
эмпир_ADJF,[]
шрапнель_NOUN,[]
деград_NOUN,[]
струн_ADJF,['бес']
пир_NOUN,"['от', 'вы', 'до']"
дет_ADJF,"['без', 'не', 'о', 'раз', 'разо']"
кров_ADJF,"['су', 'по', 'бес', 'под', 'о', 'у', 'от', 'со']"
муж_ADVB,"['по', 'за']"
очевидн_ADJF,[]
лиф_NOUN,[]
счет_NOUN,"['про', 'от', 'пере', 'под', 'об']"
скал_NOUN,['о']
арго_ADJF,[]
концентр_NOUN,[]
шевел_ADJF,[]
копыт_ADJF,"['не', 'у']"
весель_ADJF,[]
бедуин_NOUN,[]
пролетари_NOUN,['у']
дох_ADJF,"['за', 'в']"
караван_NOUN,[]
клыч_NOUN,[]
стержен_NOUN,[]
радж_NOUN,[]
опер_ADJF,"['сверх', 'не', 'после', 'по', 'пред', 'ко']"
бандерол_INFN,['о']
компост_PRTF,"['за', 'про']"
казарм_ADJF,[]
крут_ADJF,[]
арали_NOUN,[]
завтрак_NOUN,[]
предмет_NOUN,[]
интриж_NOUN,[]
коряв_ADJF,[]
триас_NOUN,[]
тюлен_ADJF,[]
маст_NOUN,['от']
синел_ADJF,[]
склоч_ADJF,[]
горн_NOUN,[]
свояк_NOUN,[]
ценз_ADJF,['бес']
пол_ADJF,"['транс', 'у', 'при', 'за', 'про', 'бес', 'ис', 'раз', 'би']"
ух_INFN,[]
востр_INFN,['на']
эффект_ADJF,[]
аксиом_NOUN,[]
пыл_ADJF,"['на', 'пере', 'о', 'рас']"
цепс_NOUN,['би']
киот_NOUN,[]
сморк_INFN,"['вы', 'за']"
терп_NOUN,"['не', 'с']"
ковыль_ADJF,[]
ыск_NOUN,"['роз', 'с', 'вз', 'об', 'из', 'раз', 'не']"
малева_PRTF,"['за', 'под', 'на', 'из', 'пере', 'раз', 'вы']"
уваж_ADJF,"['пре', 'не']"
павильон_NOUN,[]
знач_NOUN,"['обо', 'на']"
азбуч_ADJF,[]
карантин_NOUN,[]
сосуд_ADJF,[]
макарон_ADJF,[]
крокет_NOUN,[]
концентр_INFN,['с']
сукн_NOUN,['у']
бергамот_ADJF,[]
пульвер_NOUN,[]
шахт_NOUN,[]
маргарин_NOUN,[]
экзегет_NOUN,[]
тр_NUMR,[]
зазна_NOUN,[]
ши_INFN,"['про', 'над', 'о', 'при', 'по', 'на', 'за', 'об', 'рас', 'в', 'вы', 'до', 'не', 'от', 'пере', 'под', 'с', 'у']"
сторон_ADVB,[]
льст_INFN,"['обо', 'пре', 'по', 'подо']"
причащ_PRTF,[]
гул_PRTF,"['от', 'раз', 'на', 'при', 'про', 'вы', 'за', 'по']"
рв_ADJF,['обо']
галд_INFN,"['по', 'за']"
блуз_NOUN,[]
молекул_ADJF,"['би', 'над', 'меж', 'в']"
хохл_NOUN,[]
сверб_NOUN,[]
губл_INFN,['при']
компани_NOUN,[]
пуш_PRTF,"['о', 'под', 'рас', 'вы', 'при', 'вс']"
сто_NOUN,"['на', 'по', 'сверх', 'за', 'об', 'рас', 'со']"
цент_NOUN,[]
чужд_INFN,['от']
консул_NOUN,['про']
шаман_ADJF,[]
лошад_ADJF,['без']
саж_ADJF,[]
скопл_PRTF,['о']
гренланд_ADJF,[]
пейзаж_NOUN,[]
найд_NOUN,[]
наним_INFN,['при']
доним_INFN,[]
сибарит_ADJF,[]
сва_NOUN,"['у', 'при', 'о']"
мотыж_INFN,"['раз', 'про']"
ближ_COMP,['по']
труд_INFN,"['пере', 'у', 'со', 'на', 'от', 'по']"
позитив_ADJF,['диа']
врач_ADJF,['до']
точ_ADJF,"['рас', 'с', 'за', 'по', 'от', 'не', 'про', 'при', 'пере', 'об', 'бес', 'ис']"
доказ_ADJF,"['не', 'без']"
кавалери_NOUN,[]
шизофрен_NOUN,[]
маршрут_NOUN,[]
спас_PRTF,[]
угор_ADJF,[]
хром_NOUN,"['а', 'ни']"
абон_NOUN,[]
конфиденциальн_ADJF,[]
палуб_INFN,['о']
малева_ADJF,[]
цифр_ADJF,[]
рамл_INFN,['об']
фтонг_NOUN,[]
черп_NOUN,"['вы', 'за', 'ис']"
полоск_NOUN,[]
улыб_NOUN,[]
корен_INFN,"['в', 'у', 'за']"
мотыж_NOUN,[]
сын_INFN,"['у', 'па']"
пунктир_NOUN,[]
